,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg102,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01902 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],K01902,14,16,16,12,18,11,9,12,13,18,14,14,17,15,15,14,17,14,13,13,18,17,12,12
kegg103,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5],K01903,16,16,17,17,17,18,9,12,18,15,21,18,22,21,18,20,18,18,12,16,14,21,17,14
kegg104,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01958 pyruvate carboxylase [EC:6.4.1.1],K01958,5,5,1,3,1,2,1,5,3,1,4,3,4,5,4,2,6,3,1,3,3,5,6,7
kegg105,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01959 pyruvate carboxylase subunit A [EC:6.4.1.1],K01959,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1
kegg106,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K01960 pyruvate carboxylase subunit B [EC:6.4.1.1],K01960,2,2,3,1,4,3,3,2,1,1,1,1,1,2,2,1,1,2,1,0,1,3,2,2
kegg107,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K03737 pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],K03737,7,8,9,7,7,14,13,10,11,4,8,9,7,6,8,8,7,9,9,10,4,9,6,5
kegg108,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K05942 citrate (Re)-synthase [EC:2.3.3.3],K05942,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,1,1,0,1,0,1
kegg109,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K15230 ATP-citrate lyase alpha-subunit [EC:2.3.3.8],K15230,2,1,3,1,1,1,1,3,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2
kegg110,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K15231 ATP-citrate lyase beta-subunit [EC:2.3.3.8],K15231,2,1,3,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1
kegg111,Metabolism,Carbohydrate metabolism,ko00020 Citrate cycle (TCA cycle),K18118 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18],K18118,0,2,1,1,1,0,1,1,1,0,1,0,2,1,2,1,1,1,0,1,1,1,0,0
kegg112,Metabolism,-,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,ko00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg113,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],K00033,17,16,16,18,14,21,14,18,18,16,17,14,11,15,11,10,15,18,21,9,10,12,11,14
kegg114,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00034 glucose 1-dehydrogenase [EC:1.1.1.47],K00034,8,8,10,11,6,7,11,11,8,10,8,13,5,6,8,6,4,6,8,9,8,9,12,7
kegg115,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],K00036,34,29,23,28,34,25,28,27,25,28,23,29,25,27,21,14,17,23,25,25,30,22,21,22
kegg116,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00090 glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],K00090,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,1,1,0,1,2,1
kegg117,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00117 quinoprotein glucose dehydrogenase [EC:1.1.5.2],K00117,9,5,2,5,6,10,4,7,5,2,6,6,16,15,12,16,8,15,8,11,23,6,11,8
kegg118,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],K00131,1,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,2,1,1,1,1
kegg119,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00615 transketolase [EC:2.2.1.1],K00615,33,38,37,33,31,31,38,36,37,36,37,37,31,29,34,27,37,37,36,37,29,35,36,33
kegg120,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00616 transaldolase [EC:2.2.1.2],K00616,16,14,18,15,20,14,18,11,16,11,9,15,16,14,15,15,20,17,17,14,11,10,12,18
kegg121,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00850 6-phosphofructokinase 1 [EC:2.7.1.11],K00850,9,8,9,10,9,10,9,4,9,5,11,8,3,5,7,8,4,4,4,4,7,4,6,4
kegg122,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00851 gluconokinase [EC:2.7.1.12],K00851,5,5,5,5,4,7,8,7,9,8,8,6,8,6,6,7,5,7,6,9,10,5,11,7
kegg123,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00852 ribokinase [EC:2.7.1.15],K00852,9,11,14,9,15,9,10,7,11,10,12,10,10,9,11,9,12,9,11,12,7,9,7,7
kegg124,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00874 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],K00874,6,8,6,6,5,8,4,5,6,5,2,3,6,6,9,8,6,5,8,9,7,6,9,5
kegg125,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00895 diphosphate-dependent phosphofructokinase [EC:2.7.1.90],K00895,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,1,1,0,1,0,1,1,1,1
kegg126,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K00948 ribose-phosphate pyrophosphokinase [EC:2.7.6.1],K00948,13,8,19,18,16,11,15,11,15,15,19,12,18,15,20,14,12,17,12,16,7,21,18,22
kegg127,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01053 gluconolactonase [EC:3.1.1.17],K01053,14,17,15,18,23,20,21,18,22,17,17,15,13,12,11,12,13,22,20,21,16,12,11,16
kegg128,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01057 6-phosphogluconolactonase [EC:3.1.1.31],K01057,6,11,6,8,9,7,5,7,6,7,10,7,8,4,7,7,9,8,8,7,3,7,5,7
kegg129,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01619 deoxyribose-phosphate aldolase [EC:4.1.2.4],K01619,5,11,5,5,8,5,9,6,9,7,5,6,3,6,8,2,9,4,5,5,5,5,7,5
kegg130,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01621 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22],K01621,13,17,13,15,14,16,23,18,14,21,17,16,11,15,14,14,12,15,14,13,14,13,10,18
kegg131,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K01622 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",K01622,4,5,7,4,4,3,2,5,5,5,3,4,2,5,5,6,2,3,4,4,2,4,4,3
kegg132,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",K01623,3,7,4,7,4,3,4,7,4,6,6,6,6,4,8,4,4,4,3,3,5,3,3,7
kegg133,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",K01624,4,5,4,5,4,7,6,6,7,5,3,8,6,7,4,0,11,7,4,4,7,6,8,8
kegg134,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01625 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],K01625,7,6,5,4,7,8,7,4,4,6,4,5,5,7,9,5,10,10,8,7,6,5,5,8
kegg135,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01690 phosphogluconate dehydratase [EC:4.2.1.12],K01690,2,3,2,7,3,0,1,3,3,2,4,4,8,6,7,5,6,3,1,4,5,5,6,5
kegg136,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1],K01783,7,7,10,9,12,8,11,7,7,10,8,10,11,6,9,7,10,8,6,7,12,11,9,7
kegg137,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6],K01807,8,8,10,10,12,10,10,10,11,10,6,5,7,8,7,7,5,11,6,11,9,10,8,9
kegg138,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01808 ribose 5-phosphate isomerase B [EC:5.3.1.6],K01808,8,9,7,7,8,7,8,6,9,8,6,4,8,9,7,6,5,5,5,2,7,5,9,6
kegg139,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01810 glucose-6-phosphate isomerase [EC:5.3.1.9],K01810,12,9,14,10,13,12,15,14,15,10,9,12,12,13,13,10,16,12,8,10,12,11,12,10
kegg140,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01835 phosphoglucomutase [EC:5.4.2.2],K01835,10,10,8,6,8,7,6,9,10,10,11,11,7,8,8,8,6,7,6,9,11,13,10,10
kegg141,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K01839 phosphopentomutase [EC:5.4.2.7],K01839,2,2,3,5,3,5,6,6,5,4,4,5,2,4,2,2,2,4,3,4,2,2,2,5
kegg142,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K02446 fructose-1,6-bisphosphatase II [EC:3.1.3.11]",K02446,2,5,4,3,1,4,4,6,5,9,5,5,2,4,2,1,2,4,6,2,1,3,1,3
kegg143,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K03738 aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5],K03738,2,1,3,1,0,0,1,3,0,1,2,1,1,3,0,3,1,1,3,0,0,1,2,1
kegg144,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11]",K03841,3,4,4,3,5,2,4,2,2,4,2,3,4,4,6,6,5,5,3,4,4,3,5,4
kegg145,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K04041 fructose-1,6-bisphosphatase III [EC:3.1.3.11]",K04041,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg146,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K05308 gluconate/galactonate dehydratase [EC:4.2.1.140],K05308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg147,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K05774 ribose 1,5-bisphosphokinase [EC:2.7.4.23]",K05774,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
kegg148,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K06151 gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3],K06151,2,2,3,1,4,3,4,4,5,2,4,1,1,1,3,1,1,3,3,3,1,1,2,1
kegg149,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K06152 gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3],K06152,3,4,2,1,3,2,2,0,2,2,2,1,2,3,4,2,2,2,1,2,5,1,3,3
kegg150,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K06859 glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]",K06859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kegg151,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K07404 6-phosphogluconolactonase [EC:3.1.1.31],K07404,5,3,4,4,4,4,3,4,2,3,2,4,2,3,3,9,4,4,4,3,2,4,5,5
kegg152,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K08093 3-hexulose-6-phosphate synthase [EC:4.1.2.43],K08093,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
kegg153,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K08094 6-phospho-3-hexuloisomerase [EC:5.3.1.27],K08094,1,1,1,1,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,1,1,1,1
kegg154,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K11529 glycerate 2-kinase [EC:2.7.1.165],K11529,9,8,7,7,9,8,5,7,8,6,8,8,7,6,12,7,5,9,10,7,9,8,9,7
kegg155,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K11532 fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",K11532,2,4,2,0,3,1,4,2,3,5,4,4,2,4,4,4,2,2,2,1,4,2,3,2
kegg156,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K11645 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",K11645,8,6,6,5,5,5,4,4,5,5,6,4,4,6,6,5,6,6,4,7,7,4,3,5
kegg157,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K13810 transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9],K13810,3,3,3,3,2,4,4,4,3,4,3,2,2,1,2,1,3,3,4,2,2,5,2,3
kegg158,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K13831 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27],K13831,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
kegg159,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K15778 phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],K15778,11,11,10,13,14,11,12,8,14,10,10,13,10,10,18,14,8,9,12,6,11,10,11,10
kegg160,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K15916 glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8],K15916,2,1,2,2,3,1,2,2,1,3,4,1,1,0,2,1,0,0,2,0,1,1,0,2
kegg161,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,"K16306 fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",K16306,2,4,4,2,6,2,2,3,3,3,4,4,1,3,4,2,1,3,2,2,3,3,2,1
kegg162,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K16370 6-phosphofructokinase 2 [EC:2.7.1.11],K16370,2,2,3,3,2,3,1,3,2,2,2,2,2,3,2,2,2,3,1,3,2,3,2,3
kegg163,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K17468 D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29],K17468,2,3,1,0,5,4,3,4,3,3,2,1,3,5,3,2,1,3,1,2,2,3,2,2
kegg164,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K19243 NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388],K19243,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
kegg165,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K19813 glucose dehydrogenase [EC:1.1.5.9],K19813,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,2,2,0,1,2,0,2
kegg166,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K21071 ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],K21071,13,14,16,15,13,15,16,18,14,16,13,16,16,16,11,13,13,13,16,13,13,12,9,15
kegg167,Metabolism,Carbohydrate metabolism,ko00030 Pentose phosphate pathway,K22969 glucose 1-dehydrogenase [EC:1.1.1.47],K22969,2,4,3,2,5,4,3,1,2,4,1,2,2,1,2,1,1,0,3,3,3,1,1,3
kegg168,Metabolism,-,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,ko00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg169,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00007 D-arabinitol 4-dehydrogenase [EC:1.1.1.11],K00007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,1
kegg170,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14],K00008,14,10,6,12,10,8,13,10,10,15,12,11,5,8,9,6,5,11,10,5,6,8,6,7
kegg171,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22],K00012,8,15,12,11,8,10,17,12,11,13,18,12,12,14,10,11,17,11,9,9,15,12,11,14
kegg172,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00039 ribitol 2-dehydrogenase [EC:1.1.1.56],K00039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kegg173,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00040 fructuronate reductase [EC:1.1.1.57],K00040,2,4,3,1,2,2,2,3,5,2,2,3,4,2,2,0,3,3,2,3,3,2,1,2
kegg174,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00041 tagaturonate reductase [EC:1.1.1.58],K00041,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,3,1,1,0,1,2,4,3,3
kegg175,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],K00065,4,2,6,5,4,4,10,5,4,4,6,5,7,10,10,9,11,7,8,9,8,11,9,11
kegg176,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00594 alditol oxidase [EC:1.1.3.41],K00594,2,1,1,0,1,1,3,1,1,2,0,1,2,1,2,1,1,2,1,2,1,2,1,1
kegg177,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00848 rhamnulokinase [EC:2.7.1.5],K00848,4,3,3,1,3,2,3,2,1,3,4,4,4,1,2,1,1,2,1,2,3,3,3,2
kegg178,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00853 L-ribulokinase [EC:2.7.1.16],K00853,0,1,1,2,0,0,0,0,1,1,1,1,1,3,2,0,1,0,0,1,1,2,3,1
kegg179,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00854 xylulokinase [EC:2.7.1.17],K00854,11,16,18,10,11,12,8,13,11,10,9,13,15,14,13,9,11,13,9,12,10,8,11,13
kegg180,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00880 L-xylulokinase [EC:2.7.1.53],K00880,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,1
kegg181,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],K00963,10,11,9,8,7,6,6,9,9,12,13,12,13,13,13,13,14,8,11,11,14,10,11,14
kegg182,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01051 pectinesterase [EC:3.1.1.11],K01051,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,3,2,1,0,2,2,1,3,5
kegg183,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01195 beta-glucuronidase [EC:3.2.1.31],K01195,4,4,2,3,1,2,4,2,2,5,1,3,5,2,2,3,1,3,3,4,1,3,2,1
kegg184,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,"K01213 galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]",K01213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
kegg185,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01685 altronate hydrolase [EC:4.2.1.7],K01685,4,3,0,5,4,6,5,4,5,2,4,2,4,5,2,5,7,5,4,6,5,3,7,6
kegg186,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01686 mannonate dehydratase [EC:4.2.1.8],K01686,2,0,0,1,1,2,1,1,1,1,1,1,1,0,2,0,4,2,1,2,4,2,3,0
kegg187,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01728 pectate lyase [EC:4.2.2.2],K01728,2,1,0,2,0,1,1,0,1,0,1,1,7,6,2,1,1,4,3,3,2,6,7,5
kegg188,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01730 oligogalacturonide lyase [EC:4.2.2.6],K01730,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,2,1,1,1
kegg189,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1],K01783,8,6,9,11,12,7,12,6,8,10,8,9,12,7,9,8,10,8,8,7,12,9,8,7
kegg190,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01804 L-arabinose isomerase [EC:5.3.1.4],K01804,2,1,0,2,0,0,0,0,2,1,1,0,2,2,4,2,1,2,1,1,2,1,1,2
kegg191,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01805 xylose isomerase [EC:5.3.1.5],K01805,3,3,1,6,3,5,5,4,6,5,9,4,7,7,9,7,6,8,4,9,7,6,7,9
kegg192,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01812 glucuronate isomerase [EC:5.3.1.12],K01812,3,2,3,3,1,2,4,1,2,1,4,2,4,1,6,2,5,1,1,1,3,2,2,4
kegg193,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01815 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17],K01815,0,1,0,0,0,0,0,0,0,0,1,0,3,2,1,0,2,1,0,2,2,1,1,2
kegg194,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K01820 L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-],K01820,6,7,3,6,7,6,7,4,6,2,3,4,3,3,5,3,4,2,3,2,2,5,3,3
kegg195,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K03077 L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4],K03077,0,2,3,2,1,2,1,1,2,1,4,1,2,2,3,3,2,3,1,2,4,3,4,4
kegg196,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K03079 L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22],K03079,2,2,0,2,1,3,3,1,0,1,2,1,1,1,0,0,0,2,0,1,1,1,1,1
kegg197,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K03331 L-xylulose reductase [EC:1.1.1.10],K03331,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kegg198,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K05351 D-xylulose reductase [EC:1.1.1.9],K05351,0,2,1,2,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1
kegg199,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K05352 ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405],K05352,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1
kegg200,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K08322 L-gulonate 5-dehydrogenase [EC:1.1.1.380],K08322,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
kegg201,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K08323 mannonate dehydratase [EC:4.2.1.8],K08323,1,0,1,1,0,1,1,1,0,0,0,0,3,1,2,1,4,3,2,2,3,1,0,3
kegg202,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K09988 D-lyxose ketol-isomerase [EC:5.3.1.15],K09988,0,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0
kegg203,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K13247 L-gulonate 3-dehydrogenase [EC:1.1.1.45],K13247,3,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,0
kegg204,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,"K13877 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]",K13877,3,2,3,3,1,2,2,2,2,3,1,2,3,4,4,4,2,1,1,4,3,5,7,5
kegg205,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K14259 2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141],K14259,2,3,3,2,1,3,3,2,2,2,2,1,1,1,0,0,0,3,1,2,1,2,2,0
kegg206,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K14273 D-xylose 1-dehydrogenase (NADP+) [EC:1.1.1.179],K14273,2,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0
kegg207,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,"K14274 xylono-1,5-lactonase [EC:3.1.1.110]",K14274,8,8,6,8,5,4,9,6,9,8,8,10,7,11,9,12,10,10,7,9,9,14,9,10
kegg208,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K16849 altronate dehydratase small subunit [EC:4.2.1.7],K16849,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1
kegg209,Metabolism,Carbohydrate metabolism,ko00040 Pentose and glucuronate interconversions,K16850 altronate dehydratase large subunit [EC:4.2.1.7],K16850,2,1,1,1,2,3,1,2,1,2,1,0,3,0,3,1,0,3,0,1,3,2,1,1
